Course Title,SCED Course Code,Course Description
English/Language Arts I (9th grade),01001,"English/Language Arts I (9th grade) courses build upon students’ prior knowledge of grammar, vocabulary, word usage, and the mechanics of writing and usually include the four aspects of language use: reading, writing, speaking, and listening. Typically, these courses introduce and define various genres of literature, with writing exercises often linked to reading selections."
English/Language Arts II (10th grade),01002,"English/Language Arts II (10th grade) courses usually offer a balanced focus on composition and literature. Typically, students learn about the alternate aims and audiences of written compositions by writing persuasive, critical, and creative multi-paragraph essays and compositions. Through the study of various genres of literature, students can improve their reading rate and comprehension and develop the skills to determine the author’s intent and theme and to recognize the techniques used by the author to deliver his or her message."
English/Language Arts III (11th grade),01003,"English/Language Arts III (11th grade) courses continue to develop students’ writing skills, emphasizing clear, logical writing patterns, word choice, and usage, as students write essays and begin to learn the techniques of writing research papers. Students continue to read works of literature, which often form the backbone of the writing assignments. Literary conventions and stylistic devices may receive greater emphasis than in previous courses."
English/Language Arts IV (12th grade),01004,"English/Language Arts IV (12th grade) courses blend composition and literature into a cohesive whole as students write critical and comparative analyses of selected literature, continuing to develop their language arts skills. Typically, students primarily write multi-paragraph essays, but they may also write one or more major research papers."
AP English Language and Composition,01005,"Following the College Board’s suggested curriculum designed to parallel college-level English courses, AP English Language and Composition courses expose students to prose written in a variety of periods, disciplines, and rhetorical contexts. These courses emphasize the interaction of authorial purpose, intended audience, and the subject at hand, and through them, students learn to develop stylistic flexibility as they write compositions covering a variety of subjects that are intended for various purposes."
AP English Literature and Composition,01006,"Following the College Board’s suggested curriculum designed to parallel college-level English courses, AP English Literature and Composition courses enable students to develop critical standards for evaluating literature. Students study the language, character, action, and theme in works of recognized literary merit; enrich their understanding of connotation, metaphor, irony, syntax, and tone; and write compositions of their own (including literary analysis, exposition, argument, narrative, and creative writing)."
IB Language A: Literature—English,01007,"IB Language A: Literature—English courses prepare students to take the International Baccalaureate Language A: Literature exams. Course content includes in-depth study of a range of literary texts in a number of literary forms and from different times and places, written analyses and critiques of this literature, and other oral and written assignments. The course is designed for students highly competent in using English in an academic context."
English as a Second Language,01008,"English as a Second Language (ESL) courses are designed for the acquisition and rapid mastery of the English language, focusing on reading, writing, speaking, and listening skills. ESL courses usually begin with extensive listening and speaking practice, building on auditory and oral skills, and then move on to reading and writing. These courses provide an explanation of basic structures of the English language, enabling students to progress from an elementary understanding of English words and verb tenses to a more comprehensive grasp of various formal and informal styles and then to advance to “regular” English courses. ESL classes may also include an orientation to the customs and culture of the diverse population in the United States."
Language Arts Laboratory,01009,"Language Arts Laboratory courses provide instruction in basic language skills, integrating reading, writing, speaking, and listening, while placing great emphasis on the progress of individual students. Course content depends upon students’ abilities and may include vocabulary building, improving spelling and grammar, developing writing and composition skills, reading silently or aloud, and improving listening and comprehension abilities."
"IB Language A (English), Middle Years Program",01010,"International Baccalaureate (IB) Language A (English), Middle Years Program courses include instruction in the instrumental function of a language, emphasizing skills in listening, viewing, speaking, reading, presenting, and writing, as well as literature encompassing a variety of periods and genres."
IB Language A: Language and Literature—English,01011,"IB Language A: Language and Literature—English courses prepare students to take the International Baccalaureate Language A: Language and Literature exams. Course content includes in-depth study of various text types and literary forms, composition for purpose and audience, and the context and elements of literature. The course includes oral and written assignments and is designed for students highly competent in using English in an academic context."
IB Literature and Performance,01012,"IB Literature and Performance courses prepare students to take the International Baccalaureate Literature and Performance exam. Course content focuses on the relationship between literature and theatre. These courses may cover the critical study of literary texts, the exploration of chosen approaches to a text, and the performance of written texts."
AP Seminar: English,01013,"Following the College Board’s suggested curriculum designed to parallel college-level English courses, AP Seminar: English courses expose students to a variety of texts covering multiple genres, topics, and rhetorical contexts in a seminar-style setting. These courses foster students’ ability to summarize and explain the salient ideas in a text by analyzing an author’s perspective, rhetorical choices, and argumentative structure. Students evaluate a variety of literary, informational, and visual texts, and synthesize perspectives to develop evidence-based arguments. Students convey their findings through multiple written formats, multimedia presentations, and oral defenses."
CI English Language,01014,"Cambridge International (CI) English Language courses prepare students to take the Cambridge English Language assessments. These courses teach students to critically respond to a variety of texts in a range of forms, styles, and contexts, and promote skills of communication, reading, research, and analysis. Students will gain an understanding of English language features and issues as well we develop writing skills for different purposes and audiences."
Language Arts (early childhood education),01026,"Language Arts (early childhood education) courses develop students’ readiness for language arts learning in reading, writing, listening, and speaking. Courses may include activities related to phonics, phonemic awareness, and vocabulary. Content is age appropriate and conforms to any existing state standards for early childhood education."
Language Arts (pre-kindergarten),01027,"Language Arts (pre-kindergarten) courses develop students’ readiness for language arts learning in reading, writing, listening, and speaking. Courses may include activities related to phonics, phonemic awareness, and vocabulary. Content is age appropriate and conforms to any existing state standards for pre-kindergarten education."
Language Arts (kindergarten),01028,"Language Arts (kindergarten) courses engage students in activities to develop their language arts skills (reading, writing, listening, and speaking). Course content may emphasize storytelling or reading aloud and evoking a written, oral, or pictorial response. Specific content depends upon state standards for kindergarten."
Language Arts (grade 1),01029,"Language Arts (grade 1) courses include the four aspects of language use: reading, writing, speaking, and listening. These courses may emphasize recognition of and response to various types of text, extension of vocabulary and writing skills, and the connection of language to the expression of ideas. Specific content depends upon state standards for grade 1."
Language Arts (grade 2),01030,"Language Arts (grade 2) courses include the four aspects of language use: reading, writing, speaking, and listening. These courses may build students’ skills in independent reading and writing by increasing reading and writing fluency, vocabulary, and recognition of word and language patterns. They may also introduce or reinforce the rules of grammar. Specific content depends upon state standards for grade 2."
Language Arts (grade 3),01031,"Language Arts (grade 3) courses include the four aspects of language use: reading, writing, speaking, and listening. These courses may emphasize independent reading and writing in a variety of assignments. Some emphasis may also be placed on presentation or oral communication skills. Specific content depends upon state standards for grade 3."
Language Arts (grade 4),01032,"Language Arts (grade 4) courses include the four aspects of language use: reading, writing, speaking, and listening. These courses may emphasize independent reading and writing in a variety of assignments and require students to respond to different material in different ways. Grammar and usage of the English language may also be emphasized. Specific content depends upon state standards for grade 4."
Language Arts (grade 5),01033,"Language Arts (grade 5) courses include the four aspects of language use: reading, writing, speaking, and listening. These courses may extend students’ skills in composition, writing for particular purposes or audiences, distinguishing meaning and literary functions in texts, and fluency in reading. Specific content depends upon state standards for grade 5."
Language Arts (grade 6),01034,"Language Arts (grade 6) courses build upon students’ prior knowledge of grammar, vocabulary, word usage, and the mechanics of writing, and include the four aspects of language use: reading, writing, speaking, and listening. These courses may emphasize the use of language for different effects, in different contexts, and for different purposes. Specific content depends upon state standards for grade 6."
Language Arts (grade 7),01035,"Language Arts (grade 7) courses build upon students’ prior knowledge of grammar, vocabulary, word usage, and the mechanics of writing, and include the four aspects of language use: reading, writing, speaking, and listening. Beyond emphasizing different uses for language, these courses may also include using language (particularly written text) to construct meaning and connections. Specific content depends upon state standards for grade 7."
Language Arts (grade 8),01036,"Language Arts (grade 8) courses build upon students’ prior knowledge of grammar, vocabulary, word usage, and the mechanics of writing, and include the four aspects of language use: reading, writing, speaking, and listening. Typically, these courses use various genres of literature to improve reading skills, and they link writing exercises for different purposes to those reading selections. Specific content depends upon state standards for grade 8."
